sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,29703,30536,31648,58339,30689,-4122,852,-1177,25,10,14,43,461,-215,1,0,38,55,40,0,53298,1
2,29709,30532,31640,58340,30709,-4120,854,-1174,18,16,2,38,454,-212,1,0,38,55,80,0,53298,1
2,29702,30530,31646,58341,30730,-4104,857,-1168,7,9,7,43,465,-201,1,0,38,55,120,0,53298,1
2,29718,30537,31647,58342,30750,-4114,852,-1188,3,-6,12,40,464,-202,1,0,38,55,160,0,53298,1
2,29735,30534,31648,58343,30771,-4109,857,-1175,-24,-36,18,40,462,-204,1,0,38,55,200,0,53298,1
2,29735,30537,31645,58344,30792,-4123,852,-1187,-21,-50,21,43,461,-205,1,0,38,55,240,0,53298,1
2,29724,30539,31644,58345,30814,-4114,853,-1170,-11,-51,24,53,461,-213,1,0,38,55,280,0,53298,1
2,29754,30540,31650,58346,30835,-4130,842,-1159,-2,-9,41,47,463,-207,1,0,38,55,320,0,53298,1
2,29727,30537,31652,58347,30857,-4106,848,-1160,73,61,52,42,462,-208,1,0,38,55,360,0,53298,1
2,29747,30537,31660,58348,30879,-4124,855,-1172,133,143,46,50,458,-204,1,0,38,55,400,0,53298,1
2,29714,30535,31649,58349,30901,-4120,852,-1192,124,175,1,40,456,-208,1,0,38,55,440,0,53298,1
2,29757,30540,31643,58350,30923,-4109,846,-1212,65,118,-53,45,463,-209,1,0,38,55,480,0,53298,1
2,29768,30536,31650,58351,30945,-4110,843,-1202,-5,-6,-59,34,460,-212,1,0,38,55,520,0,53298,1
2,29771,30540,31643,58352,30967,-4117,844,-1191,-33,-123,-7,47,465,-213,1,0,38,55,560,0,53298,1
2,29772,30541,31649,58353,30988,-4120,849,-1164,-77,-161,67,41,463,-205,1,0,38,55,600,0,53298,1
2,29764,30540,31648,58354,31010,-4130,856,-1163,-106,-121,88,42,468,-208,1,0,38,55,640,0,53298,1
2,29757,30541,31648,58355,31032,-4105,867,-1165,-54,-58,60,29,459,-199,1,0,38,55,680,0,53298,1
2,29765,30547,31655,58356,31054,-4114,863,-1173,-16,-13,23,38,458,-212,1,0,38,55,720,0,53298,1
2,29759,30550,31657,58357,31075,-4119,844,-1183,-32,1,1,39,459,-215,1,0,38,55,760,0,53298,1
2,29746,30547,31660,58358,31098,-4120,845,-1176,-18,-24,28,43,467,-213,1,0,38,55,800,0,53298,1
2,29760,30549,31649,58359,31120,-4115,854,-1157,33,-43,60,36,470,-198,1,0,38,55,840,0,53298,1
2,29759,30552,31651,58360,31143,-4125,863,-1171,22,-8,72,43,461,-215,1,0,38,55,880,0,53298,1
2,29716,30545,31650,58361,31165,-4114,858,-1183,-18,28,49,45,457,-211,1,0,38,55,920,0,53298,1
2,29750,30544,31645,58362,31188,-4111,863,-1197,-23,43,25,41,463,-207,1,0,38,55,960,0,53298,1
1,29760,30547,31657,58363,0,-4110,864,-1183,37,16,13,37,455,-199,1,0,38,56,0,0,53298,1
2,29762,30549,31652,58364,30236,-4115,859,-1171,78,21,12,40,458,-204,1,0,38,56,40,0,53298,1
2,29756,30547,31649,58365,30259,-4111,863,-1173,49,54,-3,43,461,-211,1,0,38,56,80,0,53298,1
2,29761,30548,31649,58366,30281,-4118,856,-1182,32,66,-19,47,463,-203,1,0,38,56,120,0,53298,1
2,29766,30542,31646,58367,30303,-4105,851,-1184,38,37,-26,44,468,-202,1,0,38,56,160,0,53298,1
2,29756,30544,31654,58368,30325,-4103,851,-1196,11,-20,-13,45,457,-211,1,0,38,56,200,0,53298,1
2,29758,30543,31648,58369,30348,-4120,854,-1194,-31,-53,1,42,464,-208,1,0,38,56,240,0,53298,1
2,29762,30543,31658,58370,30371,-4123,856,-1165,-21,-66,18,45,457,-211,1,0,38,56,280,0,53298,1
2,29766,30543,31661,58371,30393,-4110,866,-1173,-28,-44,28,54,464,-212,1,0,38,56,320,0,53298,1
2,29757,30547,31660,58372,30415,-4120,844,-1182,-35,-17,36,39,461,-205,1,0,38,56,360,0,53298,1
2,29750,30543,31660,58373,30436,-4122,850,-1167,12,-13,61,41,459,-203,1,0,38,56,400,0,53298,1
2,29760,30547,31659,58374,30458,-4121,856,-1172,24,2,55,34,462,-198,1,0,38,56,440,0,53298,1
2,29763,30550,31660,58375,30479,-4108,854,-1182,4,14,40,38,462,-210,1,0,38,56,480,0,53298,1
2,29755,30548,31660,58376,30501,-4108,859,-1184,16,12,20,47,457,-217,1,0,38,56,520,0,53298,1
2,29751,30547,31659,58377,30523,-4115,852,-1193,28,11,-1,36,464,-210,1,0,38,56,560,0,53298,1
2,29751,30543,31654,58378,30545,-4125,849,-1186,3,10,-1,46,464,-196,1,0,38,56,600,0,53298,1
2,29736,30548,31641,58379,30568,-4109,853,-1172,3,-7,11,40,458,-214,1,0,38,56,640,0,53298,1
2,29755,30543,31645,58380,30590,-4117,847,-1173,5,-9,24,45,453,-205,1,0,38,56,680,0,53298,1
2,29748,30534,31647,58381,30613,-4115,863,-1186,13,-3,25,51,465,-211,1,0,38,56,720,0,53298,1
2,29750,30533,31644,58382,30636,-4107,858,-1190,9,4,19,38,462,-208,1,0,38,56,760,0,53298,1
2,29752,30541,31644,58383,30658,-4122,849,-1173,9,6,23,42,462,-210,1,0,38,56,800,0,53298,1
2,29741,30536,31655,58384,30680,-4106,863,-1194,5,-14,23,37,463,-213,1,0,38,56,840,0,53298,1
2,29741,30543,31653,58385,30704,-4106,864,-1197,-5,-21,33,44,464,-202,1,0,38,56,880,0,53298,1
2,29756,30539,31651,58386,30726,-4117,865,-1178,-5,-19,22,42,462,-208,1,0,38,56,920,0,53298,1
2,29745,30540,31649,58387,30749,-4115,851,-1188,-7,-10,17,43,461,-213,1,0,38,56,960,0,53298,1
1,29740,30545,31654,58388,0,-4120,861,-1169,0,-9,3,47,471,-203,1,0,38,57,0,0,53298,1
2,29732,30552,31648,58389,29785,-4117,858,-1187,-26,-20,-1,46,458,-216,1,0,38,57,40,0,53298,1
2,29748,30282,31652,58390,29809,-4157,869,-1154,-92,-74,28,45,457,-213,1,0,38,57,80,0,53298,1
2,29793,30074,31612,58391,29835,-4430,849,-846,-324,-702,307,40,460,-210,1,0,38,57,120,0,53298,1
2,29850,32497,31486,58392,29860,-4178,941,-972,747,-914,8,41,467,-201,1,0,38,57,160,0,53298,1
2,29969,31675,31589,58393,29885,-3835,872,-1455,139,-367,-88,45,461,-211,1,0,38,57,200,0,53298,1
2,29933,33655,31471,58394,29909,-4030,815,-1316,-35,160,9,38,460,-208,1,0,38,57,240,0,53298,1
2,29997,30463,31489,58395,29935,-4094,877,-1223,480,319,62,46,452,-214,1,0,38,57,280,0,53298,1
2,29935,32001,31474,58396,29958,-3996,852,-1378,267,395,27,34,462,-206,1,0,38,57,320,0,53298,1
2,29884,32127,31470,58397,29982,-4106,718,-1391,-938,822,-337,38,466,-202,1,0,38,57,360,0,53298,1
2,29920,31998,31585,58398,30005,-4267,905,-1024,-3872,1348,-2267,54,468,-208,1,0,38,57,400,0,53298,1
2,29932,32187,31879,58399,30027,-4237,923,-875,-3206,298,-2023,54,462,-210,1,0,38,57,440,0,53298,1
2,30015,31273,32054,58400,30050,-4050,882,-1140,-3313,225,-1539,53,463,-213,1,0,38,57,480,0,53298,1
2,29736,30997,31744,58401,30073,-4020,556,-1078,-1971,-16,-922,54,474,-208,1,0,38,57,520,0,53298,1
2,30080,31484,32142,58402,30095,-4074,586,-1112,-706,24,-402,50,464,-202,1,0,38,57,560,0,53298,1
2,30351,30889,32415,58403,30118,-4344,1038,-1261,-1104,34,-420,60,460,-196,1,0,38,57,600,0,53298,1
2,30359,30681,32568,58404,30141,-4453,935,-883,-1194,-315,-299,61,471,-201,1,0,38,57,640,0,53298,1
2,30310,30306,32457,58405,30165,-4074,917,-852,-554,-697,210,57,467,-189,1,0,38,57,680,0,53298,1
2,30221,31677,32323,58406,30189,-3919,637,-996,-1151,-659,322,60,460,-208,1,0,38,57,720,0,53298,1
2,30119,32960,32251,58407,30213,-4039,561,-1137,-1972,-21,-73,73,465,-207,1,0,38,57,760,0,53298,1
2,29946,32845,32135,58408,30236,-3849,398,-1028,-410,269,85,58,460,-200,1,0,38,57,800,0,53298,1
2,29683,32887,32010,58409,30260,-3538,15,-855,3466,30,1357,51,461,-197,1,0,38,57,840,0,53298,1
2,29570,30184,31815,58410,30283,-5580,2708,-2276,4302,432,2691,60,466,-206,1,0,38,57,880,0,53298,1
2,29636,30012,31761,58411,30306,-4655,869,-276,4489,-1871,960,50,458,-204,1,0,38,57,920,0,53298,1
2,29641,30295,31779,58412,30330,-3675,571,-1362,-347,-838,-257,47,457,-211,1,0,38,57,960,0,53298,1
1,29784,30531,31740,58413,0,-4824,457,-1330,-239,46,-169,50,466,-198,1,0,38,58,0,0,53298,1
2,29881,30667,31766,58414,29335,-3920,1317,-797,1801,-285,-341,53,467,-211,1,0,38,58,40,0,53298,1
2,29746,30371,31696,58415,29360,-3553,1108,-1283,773,34,-178,41,471,-201,1,0,38,58,80,0,53298,1
2,29747,30784,31702,58416,29384,-3904,1086,-1127,1317,129,423,47,463,-201,1,0,38,58,120,0,53298,1
2,29828,30127,31729,58417,29408,-3717,1532,-942,415,164,887,39,457,-199,1,0,38,58,160,0,53298,1
2,29785,30763,31680,58418,29432,-3994,1108,-1128,-300,40,1895,50,456,-210,1,0,38,58,200,0,53298,1
2,29747,31231,31651,58419,29455,-5416,-1027,-1692,-1311,1013,607,43,461,-197,1,0,38,58,240,0,53298,1
2,29877,31267,31663,58420,29479,-5695,1142,36,831,-1628,-396,46,454,-210,1,0,38,58,280,0,53298,1
2,29700,31212,31567,58421,29504,-2782,943,-1513,-1826,-604,-2154,58,462,-208,1,0,38,58,320,0,53298,1
2,29984,33450,31823,58422,29529,-3322,1330,-1502,-466,-56,-172,53,467,-199,1,0,38,58,360,0,53298,1
2,30011,33325,31782,58423,29554,-4314,849,-971,1127,215,878,46,468,-198,1,0,38,58,400,0,53298,1
2,30048,31115,31785,58424,29579,-4221,872,-1083,497,386,465,47,465,-209,1,0,38,58,440,0,53298,1
2,29905,33935,31804,58425,29603,-3827,1102,-1274,835,179,472,52,464,-210,1,0,38,58,480,0,53298,1
2,29925,32770,31838,58426,29627,-4157,483,-1176,380,251,997,46,452,-212,1,0,38,58,520,0,53298,1
2,29910,32737,31806,58427,29651,-5249,418,-435,-466,-90,193,49,463,-205,1,0,38,58,560,0,53298,1
2,29894,32740,31743,58428,29676,-3594,1221,-1133,28,-849,-817,51,469,-195,1,0,38,58,600,0,53298,1
2,29885,32767,31723,58429,29700,-3655,954,-1472,-225,33,73,48,460,-210,1,0,38,58,640,0,53298,1
2,29888,32839,31733,58430,29724,-4972,599,-984,202,153,282,46,458,-202,1,0,38,58,680,0,53298,1
2,29913,32938,31712,58431,29748,-3927,1156,-936,51,-43,-633,53,457,-207,1,0,38,58,720,0,53298,1
2,29921,32864,31708,58432,29773,-3640,972,-1354,151,96,-87,45,469,-201,1,0,38,58,760,0,53298,1
2,29959,31727,31789,58433,29797,-3960,997,-1385,666,389,621,44,458,-198,1,0,38,58,800,0,53298,1
2,29905,32624,31761,58434,29820,-4446,1309,-1079,-2127,869,-995,54,458,-208,1,0,38,58,840,0,53298,1
2,29908,33265,31815,58435,29842,-4777,771,-436,-3947,147,-1886,51,461,-201,1,0,38,58,880,0,53298,1
2,30010,31145,31868,58436,29865,-4406,550,-790,-2439,-660,-469,51,475,-205,1,0,38,58,920,0,53298,1
2,30034,30899,31900,58437,29888,-4143,1028,-1152,-4289,-821,-640,56,462,-200,1,0,38,58,960,0,53298,1
1,30003,31104,31880,58438,0,-4125,480,-743,-5688,-993,-937,67,463,-193,1,0,38,59,0,1,53298,1
2,29997,31293,31864,58439,28882,-3887,403,-932,-3998,-933,-1122,70,456,-190,1,0,38,59,40,1,53298,1
2,29896,31146,31823,58440,28904,-3986,249,-1057,-2003,-742,-1223,69,477,-187,1,0,38,59,80,1,53298,1
2,29920,31158,31836,58441,28926,-4012,1929,-1446,-1513,438,-1375,66,458,-178,1,0,38,59,120,1,53298,1
2,29890,31173,31819,58442,28950,-4524,671,-587,879,171,47,65,465,-195,1,0,38,59,160,1,53298,1
2,29831,31128,31803,58443,28973,-4287,510,-700,1771,-23,190,66,464,-196,1,0,38,59,200,1,53298,1
2,30082,32423,31820,58444,28996,-4172,446,-917,694,-70,-470,69,465,-187,1,0,38,59,240,1,53298,1
2,30411,32370,31849,58445,29020,-4461,19,-82,478,-492,-1548,73,471,-183,1,0,38,59,280,1,53298,1
2,30089,30149,31824,58446,29046,-4151,2422,-1527,1773,-887,-1095,67,479,-185,1,0,38,59,320,1,53298,1
2,30026,33435,31829,58447,29072,-3834,877,-830,5581,-450,1278,66,470,-192,1,0,38,59,360,1,53298,1
2,30018,33801,31863,58448,29097,-4135,859,-629,5274,72,1716,60,472,-190,1,0,38,59,400,1,53298,1
2,30019,32504,31823,58449,29122,-4159,953,-945,2595,292,1199,66,466,-198,1,0,38,59,440,1,53298,1
2,30047,31785,31789,58450,29146,-4299,1298,-652,-77,196,891,62,464,-196,1,0,38,59,480,1,53298,1
2,30084,30932,31808,58451,29171,-4316,427,-890,-3959,42,699,55,457,-187,1,0,38,59,520,1,53298,1
2,30091,33779,31811,58452,29197,-5098,-425,-2583,-6018,93,-1208,69,475,-195,1,0,38,59,560,1,53298,1
2,30208,32506,31841,58453,29224,-3975,1645,-427,3094,-357,-681,65,457,-199,1,0,38,59,600,1,53298,1
2,30244,32468,31864,58454,29251,-3698,770,-1594,2680,-277,118,64,462,-192,1,0,38,59,640,1,53298,1
2,29338,33417,32053,58455,29279,-4916,-449,-1769,6178,756,-316,53,477,-199,1,0,38,59,680,1,53298,1
2,30366,32616,31861,58456,29308,-4375,2329,1273,15801,-1924,1699,48,480,-200,1,0,38,59,720,1,53298,1
2,30806,33029,32107,58457,29336,-3183,1246,-2742,1750,-1638,381,54,460,-200,1,0,38,59,760,1,53298,1
2,30697,34249,32138,58458,29365,-4571,111,-1505,-7790,2079,-1218,55,471,-205,1,0,38,59,800,1,53298,1
2,30593,32279,31779,58459,29394,-4734,1297,1033,-6900,735,-1075,61,473,-201,1,0,38,59,840,1,53298,1
2,30781,30182,31763,58460,29423,-3440,2029,-1432,-7950,-968,-99,72,468,-190,1,0,38,59,880,1,53298,1
2,31189,30390,31785,58461,29450,-4307,-1939,-3192,-11931,1351,-682,67,477,-179,1,0,38,59,920,1,53298,1
2,31280,30224,31809,58462,29479,-4590,1894,691,939,4,29,59,465,-195,1,0,38,59,960,1,53298,1
1,31274,30773,31830,58463,0,-3868,842,-1274,1004,-935,361,75,471,-191,1,0,39,0,0,0,53298,1
