sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
1,32670,30719,33185,20964,37242,-4292,-295,-1404,-17,-6,40,168,598,-228,1,0,14,0,40,0,53298,1
2,32681,30694,33189,20965,37252,-4300,-301,-1418,-78,-89,76,168,596,-228,1,0,14,0,80,0,53298,1
2,32672,30699,33186,20966,37262,-4291,-279,-1413,-80,-138,43,167,593,-213,1,0,14,0,120,0,53298,1
2,32676,30706,33191,20967,37271,-4288,-265,-1391,-58,-143,-8,164,600,-212,1,0,14,0,160,0,53298,1
2,32676,30667,33197,20968,37282,-4308,-279,-1381,-42,-99,-42,168,600,-232,1,0,14,0,200,0,53298,1
2,32673,30662,33188,20969,37291,-4295,-290,-1370,-12,-44,-24,165,589,-231,1,0,14,0,240,0,53298,1
2,32667,30706,33186,20970,37301,-4289,-296,-1376,24,31,26,162,594,-228,1,0,14,0,280,0,53298,1
2,32678,30691,33189,20971,37310,-4286,-278,-1385,60,87,64,162,596,-220,1,0,14,0,320,0,53298,1
2,32660,30655,33161,20972,37320,-4290,-280,-1387,82,90,69,157,595,-223,1,0,14,0,360,0,53298,1
2,32670,30662,33175,20973,37328,-4285,-290,-1415,28,46,36,174,588,-224,1,0,14,0,400,0,53298,1
2,32674,30664,33185,20974,37338,-4294,-291,-1425,8,-8,-4,171,597,-225,1,0,14,0,440,0,53298,1
2,32674,30666,33185,20975,37348,-4294,-280,-1385,21,-59,-11,173,597,-219,1,0,14,0,480,0,53298,1
2,32660,30659,33170,20976,37358,-4307,-289,-1396,-14,-87,5,166,596,-214,1,0,14,0,520,0,53298,1
2,32670,30675,33178,20977,37368,-4297,-290,-1381,-22,-65,28,167,597,-221,1,0,14,0,560,0,53298,1
2,32651,30666,33163,20978,37377,-4307,-289,-1376,6,-34,54,177,595,-225,1,0,14,0,600,0,53298,1
2,32656,30651,33168,20979,37386,-4291,-284,-1398,-3,10,18,177,591,-225,1,0,14,0,640,0,53298,1
2,32660,30628,33173,20980,37396,-4295,-283,-1390,1,23,-42,170,598,-218,1,0,14,0,680,0,53298,1
2,32653,30615,33165,20981,37405,-4288,-300,-1388,5,-14,-67,171,605,-229,1,0,14,0,720,0,53298,1
2,32651,30610,33164,20982,37414,-4286,-307,-1409,-14,-39,-20,169,591,-229,1,0,14,0,760,0,53298,1
2,32653,30613,33166,20983,37424,-4298,-297,-1391,1,-55,63,168,590,-236,1,0,14,0,800,0,53298,1
2,32653,30624,33171,20984,37433,-4298,-288,-1377,29,-40,113,167,589,-227,1,0,14,0,840,0,53298,1
2,32666,30622,33180,20985,37442,-4288,-283,-1385,26,-14,117,165,593,-227,1,0,14,0,880,0,53298,1
2,32663,30633,33175,20986,37451,-4287,-267,-1390,45,9,80,166,598,-228,1,0,14,0,920,0,53298,1
2,32676,30629,33194,20987,37459,-4292,-272,-1379,38,41,35,169,593,-219,1,0,14,0,960,0,53298,1
1,32680,30633,33193,20988,0,-4312,-291,-1383,12,57,-9,171,587,-223,1,0,14,1,0,1,53298,1
2,32690,30625,33197,20989,36746,-4298,-290,-1396,-5,77,-27,166,594,-228,1,0,14,1,40,1,53298,1
2,32693,30645,33210,20990,36754,-4290,-287,-1405,21,61,-33,173,591,-225,1,0,14,1,80,1,53298,1
2,32700,30630,33209,20991,36762,-4292,-298,-1418,20,27,-56,163,597,-217,1,0,14,1,120,1,53298,1
2,32687,30622,33201,20992,36771,-4312,-295,-1403,-32,-33,-58,171,595,-221,1,0,14,1,160,1,53298,1
2,32687,30608,33198,20993,36780,-4294,-307,-1389,-88,-118,-22,168,594,-230,1,0,14,1,200,1,53298,1
2,32678,30616,33193,20994,36789,-4298,-304,-1392,-118,-151,44,165,597,-229,1,0,14,1,240,1,53298,1
2,32680,30607,33196,20995,36798,-4304,-296,-1383,-68,-119,107,163,599,-223,1,0,14,1,280,1,53298,1
2,32694,30611,33204,20996,36806,-4294,-289,-1381,-16,-61,114,162,592,-218,1,0,14,1,320,1,53298,1
2,32678,30608,33198,20997,36814,-4307,-288,-1383,13,3,90,170,600,-234,1,0,14,1,360,1,53298,1
2,32674,30578,33187,20998,36823,-4287,-274,-1401,49,40,43,172,592,-220,1,0,14,1,400,1,53298,1
2,32680,30588,33192,20999,36831,-4302,-284,-1383,67,48,12,160,594,-218,1,0,14,1,440,1,53298,1
2,32667,30580,33184,21000,36839,-4299,-291,-1383,24,18,36,170,588,-220,1,0,14,1,480,1,53298,1
2,32667,30587,33184,21001,36848,-4289,-291,-1402,-22,-15,64,171,587,-219,1,0,14,1,520,1,53298,1
2,32669,30598,33183,21002,36856,-4285,-282,-1394,-5,-38,77,166,598,-224,1,0,14,1,560,1,53298,1
2,32678,30593,33212,21003,36864,-4289,-274,-1396,-25,-61,51,165,603,-223,1,0,14,1,600,1,53298,1
2,32684,30581,33209,21004,36873,-4305,-295,-1400,-24,-70,0,171,599,-219,1,0,14,1,640,1,53298,1
2,32666,30577,33208,21005,36881,-4308,-285,-1369,21,-69,-11,158,584,-214,1,0,14,1,680,1,53298,1
2,32679,30582,33193,21006,36890,-4294,-275,-1371,31,-50,5,169,595,-225,1,0,14,1,720,1,53298,1
2,32686,30575,33211,21007,36899,-4301,-280,-1388,18,-5,10,166,594,-222,1,0,14,1,760,1,53298,1
2,32689,30571,33208,21008,36908,-4300,-288,-1395,8,31,17,174,600,-216,1,0,14,1,800,1,53298,1
2,32694,30567,33215,21009,36916,-4306,-285,-1396,22,26,29,166,598,-220,1,0,14,1,840,1,53298,1
2,32700,30556,33220,21010,36926,-4291,-277,-1396,16,4,24,171,597,-223,1,0,14,1,880,1,53298,1
2,32691,30560,33214,21011,36936,-4308,-285,-1385,-12,-15,1,170,600,-222,1,0,14,1,920,1,53298,1
2,32688,30534,33207,21012,36945,-4302,-283,-1390,-2,-33,19,166,596,-216,1,0,14,1,960,1,53298,1
1,32687,30541,33218,21013,0,-4294,-286,-1379,11,-24,15,171,603,-215,1,0,14,2,0,0,53298,1
2,32681,30530,33205,21014,36249,-4310,-277,-1376,28,-1,26,172,602,-226,1,0,14,2,40,0,53298,1
2,32680,30534,33203,21015,36258,-4282,-296,-1395,-33,-24,22,169,601,-227,1,0,14,2,80,0,53298,1
2,32680,30532,33203,21016,36266,-4273,-321,-1467,43,0,-43,177,599,-225,1,0,14,2,120,0,53298,1
2,32700,30540,33212,21017,36275,-4266,-229,-1579,235,-36,-265,168,600,-230,1,0,14,2,160,0,53298,1
2,32725,30537,33225,21018,36284,-4405,-208,-1333,521,-39,-439,165,593,-227,1,0,14,2,200,0,53298,1
2,32758,30546,33224,21019,36292,-4619,-336,-1303,385,-567,228,165,585,-217,1,0,14,2,240,0,53298,1
2,32800,30542,33215,21020,36301,-4251,-431,-2067,-597,-805,644,162,598,-220,1,0,14,2,280,0,53298,1
2,32939,30576,33242,21021,36311,-3977,-320,-1870,555,-531,1201,163,589,-235,1,0,14,2,320,0,53298,1
2,33185,32609,33207,21022,36321,-4017,-235,-1445,1894,56,1551,164,596,-230,1,0,14,2,360,0,53298,1
2,34293,34422,33233,21023,36330,-4155,1247,-356,1746,-5,2116,166,610,-228,1,0,14,2,400,0,53298,1
