sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,32121,30901,32803,45089,8733,-4059,-1768,-1628,15,-8,-6,263,447,-253,1,0,30,5,40,0,53298,1
2,32126,30900,32804,45090,8737,-4059,-1765,-1628,8,-14,0,264,452,-246,1,0,30,5,80,0,53298,1
2,32125,30905,32805,45091,8741,-4056,-1763,-1632,-9,-10,16,254,450,-248,1,0,30,5,120,0,53298,1
2,32124,30908,32802,45092,8745,-4055,-1770,-1629,-18,-8,12,256,448,-250,1,0,30,5,160,0,53298,1
2,32130,30909,32812,45093,8749,-4062,-1764,-1633,-11,-14,22,264,448,-254,1,0,30,5,200,0,53298,1
2,32134,30913,32809,45094,8754,-4055,-1766,-1646,-13,-19,11,253,443,-259,1,0,30,5,240,0,53298,1
2,32130,30911,32802,45095,8758,-4053,-1752,-1636,-7,-31,9,256,460,-264,1,0,30,5,280,0,53298,1
2,32135,30912,32805,45096,8763,-4065,-1781,-1636,-10,-13,16,255,455,-257,1,0,30,5,320,0,53298,1
2,32129,30909,32813,45097,8767,-4055,-1762,-1622,-6,-9,17,260,448,-258,1,0,30,5,360,0,53298,1
2,32132,30911,32811,45098,8772,-4051,-1763,-1637,-6,-1,22,259,455,-247,1,0,30,5,400,0,53298,1
2,32130,30912,32803,45099,8776,-4048,-1761,-1633,-6,-15,17,257,455,-255,1,0,30,5,440,0,53298,1
2,32135,30913,32807,45100,8780,-4053,-1749,-1617,-5,-15,6,262,444,-252,1,0,30,5,480,0,53298,1
2,32135,30913,32810,45101,8784,-4059,-1779,-1626,-8,6,17,254,448,-258,1,0,30,5,520,0,53298,1
2,32131,30911,32810,45102,8787,-4063,-1764,-1638,-9,10,23,268,446,-260,1,0,30,5,560,0,53298,1
2,32137,30912,32807,45103,8791,-4068,-1763,-1630,5,-11,2,260,446,-252,1,0,30,5,600,0,53298,1
2,32139,30913,32816,45104,8795,-4057,-1764,-1625,2,-61,-23,253,453,-257,1,0,30,5,640,0,53298,1
