sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,29575,30746,32120,53589,35074,-4211,924,-717,7,-9,17,56,462,-176,1,0,35,45,40,0,53298,1
2,29536,30745,32122,53590,35098,-4190,937,-717,-2,-15,21,60,474,-170,1,0,35,45,80,0,53298,1
2,29530,30746,32120,53591,35122,-4213,913,-716,7,-12,24,51,465,-163,1,0,35,45,120,0,53298,1
2,29525,30745,32117,53592,35146,-4210,923,-711,11,-10,35,46,466,-164,1,0,35,45,160,0,53298,1
2,29539,30745,32117,53593,35171,-4209,922,-734,-10,-6,26,50,462,-168,1,0,35,45,200,0,53298,1
2,29535,30746,32120,53594,35196,-4210,915,-728,6,-7,29,51,469,-163,1,0,35,45,240,0,53298,1
2,29543,30745,32127,53595,35220,-4212,917,-733,16,-9,17,50,470,-162,1,0,35,45,280,0,53298,1
2,29537,30745,32126,53596,35244,-4225,906,-720,-3,-4,26,49,469,-163,1,0,35,45,320,0,53298,1
2,29537,30744,32124,53597,35268,-4215,914,-721,8,-5,18,55,463,-165,1,0,35,45,360,0,53298,1
2,29544,30744,32120,53598,35292,-4207,912,-737,25,-7,13,49,461,-173,1,0,35,45,400,0,53298,1
2,29533,30742,32123,53599,35316,-4213,923,-712,1,0,28,62,468,-168,1,0,35,45,440,0,53298,1
2,29550,30746,32119,53600,35341,-4209,924,-723,18,1,32,56,474,-166,1,0,35,45,480,0,53298,1
2,29558,30745,32120,53601,35366,-4208,916,-731,25,-4,14,54,470,-164,1,0,35,45,520,0,53298,1
2,29543,30746,32120,53602,35390,-4217,916,-721,6,-8,19,55,459,-165,1,0,35,45,560,0,53298,1
2,29547,30747,32125,53603,35415,-4210,918,-711,6,-4,25,59,463,-167,1,0,35,45,600,0,53298,1
2,29553,30746,32121,53604,35440,-4219,923,-730,17,-10,30,59,469,-171,1,0,35,45,640,0,53298,1
2,29559,30745,32129,53605,35464,-4204,920,-731,-3,-3,15,57,463,-165,1,0,35,45,680,0,53298,1
2,29571,30746,32123,53606,35489,-4202,919,-731,-2,-5,8,52,466,-172,1,0,35,45,720,0,53298,1
2,29572,30746,32120,53607,35514,-4212,918,-719,6,-11,12,60,470,-154,1,0,35,45,760,0,53298,1
2,29556,30742,32120,53608,35540,-4211,923,-715,7,-15,16,56,474,-164,1,0,35,45,800,0,53298,1
2,29551,30743,32117,53609,35564,-4216,907,-717,10,-11,26,51,469,-171,1,0,35,45,840,0,53298,1
2,29565,30744,32121,53610,35588,-4224,916,-720,14,4,27,49,469,-159,1,0,35,45,880,0,53298,1
2,29559,30743,32117,53611,35613,-4218,902,-725,20,0,19,63,471,-169,1,0,35,45,920,0,53298,1
2,29567,30743,32137,53612,35638,-4205,916,-722,5,-2,8,70,464,-174,1,0,35,45,960,0,53298,1
1,29573,30743,32120,53613,0,-4206,920,-710,4,-6,11,61,461,-163,1,0,35,46,0,0,53298,1
2,29560,30745,32116,53614,34629,-4210,923,-714,5,-11,19,58,466,-166,1,0,35,46,40,0,53298,1
2,29564,30745,32129,53615,34654,-4207,927,-725,3,-5,25,49,465,-155,1,0,35,46,80,0,53298,1
2,29547,30744,32127,53616,34679,-4209,913,-718,9,-1,13,56,468,-172,1,0,35,46,120,0,53298,1
2,29552,30744,32130,53617,34704,-4219,915,-721,8,0,20,57,469,-167,1,0,35,46,160,0,53298,1
2,29552,30742,32132,53618,34728,-4203,920,-721,-36,-11,26,53,467,-173,1,0,35,46,200,0,53298,1
2,29545,30741,32119,53619,34752,-4211,916,-715,-69,-37,41,57,469,-163,1,0,35,46,240,0,53298,1
2,29548,30742,32125,53620,34776,-4206,925,-695,31,-51,55,47,481,-157,1,0,35,46,280,0,53298,1
2,29557,30744,32118,53621,34801,-4203,929,-717,19,3,53,57,467,-165,1,0,35,46,320,0,53298,1
2,29562,30744,32119,53622,34826,-4213,916,-723,27,51,57,61,463,-175,1,0,35,46,360,0,53298,1
2,29560,30743,32128,53623,34851,-4215,916,-735,-11,64,55,51,469,-165,1,0,35,46,400,0,53298,1
2,29567,30745,32121,53624,34876,-4208,922,-725,-7,40,35,48,466,-164,1,0,35,46,440,0,53298,1
2,29571,30745,32125,53625,34900,-4208,928,-700,61,2,-12,53,465,-167,1,0,35,46,480,0,53298,1
2,29561,30747,32130,53626,34925,-4215,916,-724,44,0,-30,53,463,-163,1,0,35,46,520,0,53298,1
2,29558,30747,32127,53627,34949,-4211,913,-738,-95,-25,-5,63,469,-165,1,0,35,46,560,0,53298,1
2,29560,30747,32132,53628,34974,-4224,894,-750,-110,-98,49,57,473,-161,1,0,35,46,600,0,53298,1
2,29564,30747,32127,53629,34999,-4204,927,-712,-87,-171,79,62,470,-164,1,0,35,46,640,0,53298,1
2,29581,30745,32128,53630,35025,-4199,939,-698,-138,-147,95,58,464,-174,1,0,35,46,680,0,53298,1
2,29553,30745,32123,53631,35050,-4219,923,-699,-95,-85,88,54,468,-164,1,0,35,46,720,0,53298,1
2,29586,30745,32129,53632,35075,-4218,932,-690,28,-3,67,59,459,-169,1,0,35,46,760,0,53298,1
2,29547,30745,32131,53633,35101,-4207,929,-715,43,61,35,55,467,-177,1,0,35,46,800,0,53298,1
2,29563,30747,32126,53634,35126,-4208,921,-729,35,84,14,58,466,-154,1,0,35,46,840,0,53298,1
2,29555,30745,32132,53635,35152,-4214,935,-728,56,50,4,53,467,-171,1,0,35,46,880,0,53298,1
2,29570,30743,32131,53636,35177,-4202,933,-728,41,-11,-4,55,461,-157,1,0,35,46,920,0,53298,1
2,29578,30744,32128,53637,35202,-4206,924,-719,-19,-21,18,57,463,-159,1,0,35,46,960,0,53298,1
1,29567,30746,32135,53638,0,-4219,913,-723,-29,-35,30,50,460,-174,1,0,35,47,0,0,53298,1
2,29571,30746,32129,53639,34183,-4214,925,-707,-9,-44,23,65,471,-165,1,0,35,47,40,0,53298,1
2,29580,30745,32134,53640,34209,-4217,920,-708,-5,-6,20,60,470,-168,1,0,35,47,80,0,53298,1
2,29559,30747,32129,53641,34234,-4216,931,-707,22,15,10,53,467,-161,1,0,35,47,120,0,53298,1
2,29573,30745,32128,53642,34258,-4233,913,-699,41,37,1,49,467,-161,1,0,35,47,160,0,53298,1
2,29536,30746,32128,53643,34284,-4211,935,-711,49,44,3,46,460,-164,1,0,35,47,200,0,53298,1
2,29530,30744,32131,53644,34309,-4213,926,-724,31,32,6,53,473,-165,1,0,35,47,240,0,53298,1
2,29523,30742,32125,53645,34335,-4211,915,-719,6,5,10,56,462,-168,1,0,35,47,280,0,53298,1
2,29531,30743,32127,53646,34361,-4209,914,-722,8,-26,26,61,467,-169,1,0,35,47,320,0,53298,1
2,29523,30743,32124,53647,34387,-4195,929,-711,-1,-34,27,46,476,-162,1,0,35,47,360,0,53298,1
2,29527,30741,32125,53648,34412,-4203,924,-710,-13,-18,28,58,464,-166,1,0,35,47,400,0,53298,1
2,29503,30742,32112,53649,34438,-4204,929,-698,-4,-26,23,60,462,-168,1,0,35,47,440,0,53298,1
2,29541,30742,32130,53650,34464,-4214,922,-709,11,-10,25,60,466,-162,1,0,35,47,480,0,53298,1
2,29526,30741,32125,53651,34490,-4190,934,-708,20,-3,21,58,466,-162,1,0,35,47,520,0,53298,1
2,29525,30742,32119,53652,34515,-4204,924,-738,28,17,34,54,474,-158,1,0,35,47,560,0,53298,1
2,29539,30744,32125,53653,34540,-4207,935,-714,25,22,22,62,468,-166,1,0,35,47,600,0,53298,1
2,29528,30743,32124,53654,34564,-4208,932,-723,23,8,17,55,463,-165,1,0,35,47,640,0,53298,1
2,29512,30742,32117,53655,34588,-4211,921,-729,3,-3,11,55,469,-175,1,0,35,47,680,0,53298,1
2,29525,30743,32135,53656,34613,-4211,919,-715,-3,-28,5,50,476,-158,1,0,35,47,720,0,53298,1
2,29516,30744,32121,53657,34639,-4212,920,-720,-12,-40,8,57,475,-173,1,0,35,47,760,0,53298,1
2,29529,30742,32117,53658,34665,-4208,943,-710,-28,-39,21,55,469,-169,1,0,35,47,800,0,53298,1
2,29531,30745,32121,53659,34690,-4204,920,-719,-31,-41,17,58,464,-174,1,0,35,47,840,0,53298,1
2,29540,30743,32120,53660,34715,-4199,931,-698,11,-26,36,57,469,-171,1,0,35,47,880,0,53298,1
2,29525,30744,32115,53661,34741,-4212,917,-704,54,13,52,53,467,-161,1,0,35,47,920,0,53298,1
2,29522,30745,32124,53662,34767,-4211,927,-705,55,61,41,58,466,-166,1,0,35,47,960,0,53298,1
1,29525,30743,32115,53663,0,-4199,929,-726,78,108,27,68,470,-166,1,0,35,48,0,1,53298,1
2,29516,30741,32115,53664,33740,-4218,918,-714,162,112,28,50,466,-156,1,0,35,48,40,1,53298,1
2,29517,30744,32107,53665,33765,-4203,937,-724,115,114,4,58,472,-180,1,0,35,48,80,1,53298,1
2,29534,30743,32122,53666,33790,-4202,919,-763,-7,58,-32,65,473,-173,1,0,35,48,120,1,53298,1
2,29523,30742,32122,53667,33815,-4219,911,-753,-7,-43,-48,59,467,-169,1,0,35,48,160,1,53298,1
2,29523,30746,32125,53668,33840,-4210,910,-725,-62,-136,-23,57,469,-173,1,0,35,48,200,1,53298,1
2,29515,30745,32114,53669,33864,-4220,917,-720,-172,-174,22,48,476,-160,1,0,35,48,240,1,53298,1
2,29518,30745,32119,53670,33888,-4209,917,-712,-173,-195,62,53,461,-167,1,0,35,48,280,1,53298,1
2,29523,30744,32114,53671,33912,-4221,919,-692,-83,-160,111,58,462,-168,1,0,35,48,320,1,53298,1
2,29521,30743,32123,53672,33936,-4203,934,-661,-17,-46,155,55,475,-173,1,0,35,48,360,1,53298,1
2,29530,30743,32124,53673,33960,-4200,932,-705,46,120,185,58,472,-164,1,0,35,48,400,1,53298,1
2,29521,30743,32117,53674,33983,-4195,975,-701,198,229,105,54,470,-162,1,0,35,48,440,1,53298,1
2,29510,30741,32117,53675,34007,-4200,940,-740,309,255,-55,50,466,-174,1,0,35,48,480,1,53298,1
2,29494,30738,32114,53676,34031,-4216,912,-760,235,218,-157,56,470,-170,1,0,35,48,520,1,53298,1
2,29519,30739,32121,53677,34056,-4206,924,-729,194,135,-170,55,469,-171,1,0,35,48,560,1,53298,1
2,29532,30742,32122,53678,34080,-4217,881,-782,-21,27,-68,62,470,-166,1,0,35,48,600,1,53298,1
2,29519,30740,32113,53679,34105,-4206,914,-756,-114,-126,65,48,470,-160,1,0,35,48,640,1,53298,1
2,29516,30739,32125,53680,34130,-4210,926,-702,-62,-211,133,57,475,-157,1,0,35,48,680,1,53298,1
2,29517,30741,32114,53681,34155,-4199,931,-706,-145,-172,141,50,466,-162,1,0,35,48,720,1,53298,1
2,29519,30743,32117,53682,34179,-4208,930,-702,-149,-114,88,56,466,-166,1,0,35,48,760,1,53298,1
2,29521,30743,32117,53683,34203,-4195,946,-707,-28,-36,43,63,471,-169,1,0,35,48,800,1,53298,1
2,29512,30743,32115,53684,34228,-4200,943,-708,61,24,2,51,469,-159,1,0,35,48,840,1,53298,1
2,29525,30741,32117,53685,34252,-4212,925,-707,45,88,-27,52,468,-170,1,0,35,48,880,1,53298,1
2,29512,30743,32120,53686,34276,-4207,921,-742,34,84,-32,50,470,-170,1,0,35,48,920,1,53298,1
2,29495,30744,32119,53687,34300,-4206,922,-732,41,9,8,60,464,-172,1,0,35,48,960,1,53298,1
1,29490,30740,32118,53688,0,-4204,904,-740,-39,-58,45,59,467,-167,1,0,35,49,0,0,53298,1
2,29496,30743,32114,53689,33292,-4219,936,-713,-37,-88,86,57,465,-169,1,0,35,49,40,0,53298,1
2,29513,30745,32127,53690,33317,-4209,929,-702,4,-62,73,54,466,-176,1,0,35,49,80,0,53298,1
2,29498,30745,32124,53691,33342,-4207,943,-701,42,18,48,58,460,-164,1,0,35,49,120,0,53298,1
2,29511,30744,32128,53692,33367,-4202,933,-714,110,87,-10,54,466,-170,1,0,35,49,160,0,53298,1
2,29516,30743,32123,53693,33391,-4209,921,-734,142,133,-36,60,468,-170,1,0,35,49,200,0,53298,1
