sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
1,29837,30704,31814,63139,1147,-4608,-902,-255,-14,-9,18,258,520,-150,1,0,42,7,40,0,53298,1
2,29823,30700,31809,63140,1159,-4615,-896,-276,-11,-2,27,256,522,-148,1,0,42,7,80,0,53298,1
2,29820,30703,31809,63141,1170,-4618,-901,-264,-7,0,22,263,521,-151,1,0,42,7,120,0,53298,1
2,29817,30701,31797,63142,1181,-4625,-907,-255,-9,-4,19,259,525,-147,1,0,42,7,160,0,53298,1
2,29813,30702,31808,63143,1192,-4629,-907,-272,-6,-16,20,257,529,-141,1,0,42,7,200,0,53298,1
2,29800,30701,31805,63144,1204,-4631,-912,-261,-8,-21,31,256,520,-146,1,0,42,7,240,0,53298,1
2,29789,30703,31814,63145,1216,-4632,-903,-258,-6,-23,34,258,524,-144,1,0,42,7,280,0,53298,1
2,29793,30709,31807,63146,1228,-4624,-905,-269,-6,-10,25,260,518,-144,1,0,42,7,320,0,53298,1
2,29802,30706,31801,63147,1239,-4623,-893,-250,-10,-20,28,259,525,-143,1,0,42,7,360,0,53298,1
2,29799,30706,31804,63148,1250,-4628,-898,-257,-12,-15,18,259,527,-147,1,0,42,7,400,0,53298,1
2,29780,30709,31797,63149,1261,-4629,-893,-255,-7,-30,23,253,519,-139,1,0,42,7,440,0,53298,1
2,29791,30705,31812,63150,1273,-4621,-905,-278,-17,-50,32,258,520,-146,1,0,42,7,480,0,53298,1
2,29794,30705,31809,63151,1285,-4618,-900,-244,1,-38,44,259,525,-147,1,0,42,7,520,0,53298,1
2,29791,30709,31809,63152,1297,-4615,-887,-267,-23,-32,18,255,515,-135,1,0,42,7,560,0,53298,1
2,29796,30706,31792,63153,1308,-4626,-909,-244,-28,-32,7,257,511,-133,1,0,42,7,600,0,53298,1
2,29780,30702,31783,63154,1319,-4624,-904,-249,-17,-17,-11,259,519,-141,1,0,42,7,640,0,53298,1
2,29779,30710,31808,63155,1330,-4624,-904,-244,-21,15,-17,266,518,-142,1,0,42,7,680,0,53298,1
2,29770,30709,31808,63156,1341,-4611,-902,-269,-3,63,-4,265,521,-153,1,0,42,7,720,0,53298,1
2,29769,30701,31800,63157,1353,-4625,-888,-266,-9,105,5,267,523,-153,1,0,42,7,760,0,53298,1
2,29778,30707,31814,63158,1365,-4629,-905,-275,0,109,7,261,525,-143,1,0,42,7,800,0,53298,1
2,29772,30715,31820,63159,1377,-4629,-899,-267,-16,97,-8,257,533,-151,1,0,42,7,840,0,53298,1
2,29783,30715,31818,63160,1389,-4626,-902,-275,-14,53,-23,261,527,-153,1,0,42,7,880,0,53298,1
2,29765,30708,31812,63161,1401,-4620,-909,-278,-28,-14,2,259,527,-137,1,0,42,7,920,0,53298,1
2,29770,30717,31800,63162,1401,-4624,-900,-264,-23,-73,29,258,526,-136,1,0,42,7,960,0,53298,1
1,29765,30716,31825,63163,684,-4618,-903,-258,-33,-74,17,259,531,-149,1,0,42,8,0,1,53298,1
2,29773,30718,31819,63164,696,-4625,-906,-276,-17,-68,20,257,511,-147,1,0,42,8,40,1,53298,1
2,29770,30720,31826,63165,708,-4625,-904,-276,2,-55,28,258,522,-134,1,0,42,8,80,1,53298,1
