sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,31403,30372,31923,37292,8398,-3957,-2909,-187,25,2,11,432,326,-192,1,0,24,53,160,1,53298,1
2,31402,30370,31922,37293,8415,-3959,-2902,-189,11,-2,11,439,329,-197,1,0,24,53,200,1,53298,1
2,31404,30370,31917,37294,8431,-3954,-2909,-186,4,-19,23,431,333,-189,1,0,24,53,240,1,53298,1
2,31403,30381,31923,37295,8448,-3962,-2921,-191,7,-15,22,429,333,-195,1,0,24,53,280,1,53298,1
2,31399,30361,31909,37296,8464,-3953,-2908,-186,8,-7,25,434,330,-190,1,0,24,53,320,1,53298,1
2,31402,30348,31912,37297,8479,-3958,-2918,-193,15,8,25,435,323,-195,1,0,24,53,360,1,53298,1
2,31398,30349,31918,37298,8495,-3954,-2920,-200,21,15,14,437,327,-193,1,0,24,53,400,1,53298,1
2,31398,30335,31912,37299,8510,-3958,-2917,-195,25,10,21,438,328,-194,1,0,24,53,440,1,53298,1
0,31398,30335,31912,37299,8526,-3958,-2917,-195,25,10,21,438,328,-194,1,0,24,53,440,1,53298,1
2,31400,30331,31920,37314,7874,-3956,-2909,-195,-2,-14,30,438,330,-192,1,0,24,54,40,0,53298,1
2,31403,30325,31926,37315,7891,-3951,-2917,-196,2,-15,24,429,317,-191,1,0,24,54,80,0,53298,1
2,31400,30332,31919,37316,7907,-3948,-2903,-185,9,-11,14,433,333,-193,1,0,24,54,120,0,53298,1
2,31400,30328,31936,37317,7922,-3936,-2906,-186,17,-4,20,431,333,-189,1,0,24,54,160,0,53298,1
2,31399,30324,31922,37318,7938,-3945,-2914,-182,16,-3,9,436,334,-198,1,0,24,54,200,0,53298,1
2,31401,30305,31918,37319,7955,-3954,-2902,-186,20,-12,-5,442,330,-196,1,0,24,54,240,0,53298,1
2,31402,30322,31920,37320,7971,-3952,-2916,-206,3,-22,-16,440,334,-198,1,0,24,54,280,0,53298,1
2,31402,30306,31924,37321,7987,-3957,-2913,-186,2,-37,-22,445,329,-199,1,0,24,54,320,0,53298,1
2,31400,30318,31925,37322,8004,-3968,-2928,-193,-33,-43,4,432,328,-186,1,0,24,54,360,0,53298,1
2,31394,30309,31914,37323,8021,-3965,-2907,-202,-32,-42,25,435,331,-191,1,0,24,54,400,0,53298,1
2,31393,30304,31926,37324,8038,-3951,-2908,-202,22,-9,-6,437,331,-199,1,0,24,54,440,0,53298,1
