sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
1,32827,30018,31696,59239,2481,-4188,-894,-1624,61,64,-6,216,452,-256,1,0,39,31,40,0,53298,1
2,32831,30015,31694,59240,2485,-4219,-886,-1621,101,-25,24,213,447,-247,1,0,39,31,80,0,53298,1
2,32842,30033,31693,59241,2489,-4209,-869,-1610,-54,16,-24,211,451,-259,1,0,39,31,120,0,53298,1
2,32775,30038,31697,59242,2493,-4213,-877,-1596,54,255,-246,217,459,-245,1,0,39,31,160,0,53298,1
2,32629,30043,31699,59243,2496,-4213,-864,-1582,425,483,-406,212,450,-244,1,0,39,31,200,0,53298,1
2,32494,30040,31699,59244,2500,-4192,-894,-1610,358,526,-423,217,451,-251,1,0,39,31,240,0,53298,1
2,32337,30020,31704,59245,2502,-4204,-917,-1645,219,452,-412,224,456,-256,1,0,39,31,280,0,53298,1
2,32273,30031,31703,59246,2505,-4175,-923,-1644,269,328,-284,214,444,-258,1,0,39,31,320,0,53298,1
2,32210,30033,31703,59247,2509,-4183,-949,-1674,181,221,-210,230,446,-252,1,0,39,31,360,0,53298,1
2,32141,30044,31706,59248,2512,-4180,-923,-1641,309,292,-267,221,449,-267,1,0,39,31,400,0,53298,1
2,32061,30061,31706,59249,2515,-4177,-916,-1630,332,428,-379,216,454,-262,1,0,39,31,440,0,53298,1
2,31935,30063,31706,59250,2518,-4178,-944,-1654,362,564,-465,227,455,-253,1,0,39,31,480,0,53298,1
2,31818,30075,31706,59251,2522,-4176,-961,-1662,316,698,-563,219,445,-255,1,0,39,31,520,0,53298,1
2,31707,30072,31712,59252,2526,-4183,-981,-1683,441,741,-653,221,457,-251,1,0,39,31,560,0,53298,1
2,31606,30065,31711,59253,2529,-4159,-1006,-1711,516,632,-556,217,441,-257,1,0,39,31,600,0,53298,1
2,31547,30071,31713,59254,2532,-4146,-1038,-1726,359,458,-375,213,447,-265,1,0,39,31,640,0,53298,1
2,31517,30068,31717,59255,2536,-4126,-1033,-1755,209,252,-221,227,457,-259,1,0,39,31,680,0,53298,1
2,31491,30072,31716,59256,2540,-4142,-1045,-1754,206,25,-69,223,451,-269,1,0,39,31,720,0,53298,1
2,31512,30067,31715,59257,2543,-4132,-1053,-1742,108,-92,63,221,455,-259,1,0,39,31,760,0,53298,1
2,31517,30065,31716,59258,2546,-4152,-1027,-1719,-12,-40,40,226,450,-266,1,0,39,31,800,0,53298,1
2,31510,30073,31717,59259,2549,-4137,-1032,-1713,52,129,-130,228,454,-260,1,0,39,31,840,0,53298,1
2,31497,30070,31716,59260,2551,-4140,-1036,-1717,171,59,-257,227,449,-263,1,0,39,31,880,0,53298,1
2,31459,30061,31713,59261,2554,-4157,-1037,-1728,316,383,-284,223,455,-265,1,0,39,31,920,0,53298,1
2,31433,30070,31712,59262,2554,-4137,-1060,-1752,282,380,-294,222,452,-260,1,0,39,31,960,0,53298,1
1,31411,30070,31713,59263,1972,-4130,-1058,-1765,107,285,-242,230,452,-254,1,0,39,32,0,0,53298,1
2,31385,30074,31715,59264,1975,-4117,-1098,-1781,56,142,-101,227,455,-263,1,0,39,32,40,0,53298,1
2,31393,30083,31711,59265,1979,-4120,-1098,-1784,27,-10,25,222,452,-266,1,0,39,32,80,0,53298,1
2,31398,30076,31717,59266,1982,-4116,-1075,-1778,-45,-114,91,225,447,-263,1,0,39,32,120,0,53298,1
2,31406,30075,31715,59267,1985,-4121,-1075,-1785,-50,-114,73,229,457,-261,1,0,39,32,160,0,53298,1
2,31402,30085,31714,59268,1988,-4120,-1061,-1767,2,-20,4,230,444,-262,1,0,39,32,200,0,53298,1
2,31397,30079,31719,59269,1990,-4131,-1065,-1748,31,60,-20,222,452,-268,1,0,39,32,240,0,53298,1
2,31386,30075,31719,59270,1993,-4121,-1068,-1749,86,76,-46,222,450,-262,1,0,39,32,280,0,53298,1
2,31379,30075,31713,59271,1996,-4126,-1075,-1766,47,33,-43,224,452,-272,1,0,39,32,320,0,53298,1
2,31370,30077,31714,59272,1999,-4125,-1086,-1768,-21,-15,6,232,450,-272,1,0,39,32,360,0,53298,1
2,31388,30082,31717,59273,2002,-4131,-1089,-1767,-7,-29,41,228,448,-266,1,0,39,32,400,0,53298,1
2,31387,30087,31718,59274,2006,-4141,-1075,-1767,-46,-39,45,226,456,-254,1,0,39,32,440,0,53298,1
2,31395,30074,31717,59275,2010,-4117,-1076,-1759,-77,-50,65,226,452,-262,1,0,39,32,480,0,53298,1
2,31384,30072,31712,59276,2013,-4133,-1075,-1767,2,-33,41,229,451,-263,1,0,39,32,520,0,53298,1
2,31386,30063,31716,59277,2017,-4125,-1062,-1761,35,1,-3,227,455,-259,1,0,39,32,560,0,53298,1
2,31387,30060,31716,59278,2021,-4121,-1065,-1754,-13,8,-11,220,450,-264,1,0,39,32,600,0,53298,1
2,31382,30060,31715,59279,2025,-4115,-1072,-1765,9,6,6,223,453,-259,1,0,39,32,640,0,53298,1
2,31381,30057,31712,59280,2029,-4139,-1073,-1768,22,-14,11,224,456,-260,1,0,39,32,680,0,53298,1
2,31383,30062,31715,59281,2032,-4125,-1077,-1754,-12,-9,16,235,445,-269,1,0,39,32,720,0,53298,1
