sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,30493,29711,31172,86839,9468,-4578,-607,-612,-4,5,7,194,514,-188,1,0,57,55,40,0,53298,1
2,30496,29711,31171,86840,9480,-4577,-607,-630,14,35,27,182,504,-176,1,0,57,55,80,0,53298,1
2,30497,29709,31171,86841,9492,-4570,-598,-614,6,15,37,192,510,-180,1,0,57,55,120,0,53298,1
2,30495,29712,31175,86842,9504,-4585,-595,-615,-5,-19,29,185,507,-175,1,0,57,55,160,0,53298,1
2,30501,29715,31174,86843,9516,-4586,-605,-634,-22,-54,17,194,510,-174,1,0,57,55,200,0,53298,1
2,30499,29723,31173,86844,9528,-4569,-603,-618,-27,-80,8,192,508,-184,1,0,57,55,240,0,53298,1
2,30498,29721,31175,86845,9540,-4575,-606,-612,-1,-60,-3,187,503,-181,1,0,57,55,280,0,53298,1
2,30496,29715,31173,86846,9553,-4582,-603,-611,-9,1,10,185,507,-181,1,0,57,55,320,0,53298,1
2,30498,29709,31174,86847,9566,-4568,-591,-620,5,53,12,188,500,-180,1,0,57,55,360,0,53298,1
2,30501,29708,31175,86848,9578,-4584,-595,-626,23,63,-5,192,512,-176,1,0,57,55,400,0,53298,1
2,30498,29710,31171,86849,9590,-4591,-599,-605,40,62,-8,197,501,-193,1,0,57,55,440,0,53298,1
2,30502,29707,31174,86850,9602,-4579,-608,-633,14,48,-10,189,503,-183,1,0,57,55,480,0,53298,1
2,30501,29709,31173,86851,9614,-4582,-610,-626,-27,-16,10,184,502,-176,1,0,57,55,520,0,53298,1
2,30496,29705,31169,86852,9627,-4579,-606,-626,-5,-62,33,187,513,-175,1,0,57,55,560,0,53298,1
2,30497,29708,31175,86853,9638,-4582,-603,-599,-7,-70,47,185,507,-173,1,0,57,55,600,0,53298,1
2,30500,29709,31175,86854,9651,-4576,-604,-604,-1,-20,42,197,501,-191,1,0,57,55,640,0,53298,1
2,30498,29708,31173,86855,9663,-4574,-598,-617,-2,23,39,192,508,-186,1,0,57,55,680,0,53298,1
2,30501,29707,31175,86856,9676,-4580,-601,-638,8,20,36,180,504,-180,1,0,57,55,720,0,53298,1
2,30499,29710,31173,86857,9689,-4575,-600,-620,2,-29,29,190,510,-174,1,0,57,55,760,0,53298,1
2,30499,29702,31174,86858,9702,-4577,-592,-632,-31,-51,13,186,508,-184,1,0,57,55,800,0,53298,1
2,30498,29704,31177,86859,9716,-4579,-611,-613,-15,-48,9,186,512,-180,1,0,57,55,840,0,53298,1
2,30498,29703,31177,86860,9730,-4577,-593,-626,-15,-13,16,191,503,-185,1,0,57,55,880,0,53298,1
2,30496,29711,31174,86861,9743,-4573,-611,-610,11,24,23,188,510,-180,1,0,57,55,920,0,53298,1
2,30500,29711,31173,86862,9756,-4566,-597,-615,6,28,24,184,510,-180,1,0,57,55,960,0,53298,1
1,30501,29704,31177,86863,0,-4588,-594,-613,4,10,26,184,506,-174,1,0,57,56,0,0,53298,1
2,30500,29709,31174,86864,9016,-4569,-594,-615,-2,-13,20,190,502,-182,1,0,57,56,40,0,53298,1
2,30498,29715,31176,86865,9029,-4582,-609,-629,-4,-23,32,185,513,-189,1,0,57,56,80,0,53298,1
2,30502,29709,31175,86866,9041,-4590,-604,-609,-2,-3,21,180,508,-182,1,0,57,56,120,0,53298,1
2,30502,29712,31180,86867,9054,-4579,-597,-619,1,10,15,189,499,-183,1,0,57,56,160,0,53298,1
2,30500,29716,31174,86868,9066,-4591,-604,-636,2,21,4,189,503,-189,1,0,57,56,200,0,53298,1
2,30501,29711,31176,86869,9078,-4584,-607,-616,11,8,6,193,509,-187,1,0,57,56,240,0,53298,1
2,30498,29719,31176,86870,9091,-4586,-599,-631,2,-1,13,190,506,-184,1,0,57,56,280,0,53298,1
2,30498,29707,31178,86871,9103,-4574,-611,-634,3,-1,19,190,500,-174,1,0,57,56,320,0,53298,1
2,30496,29714,31175,86872,9115,-4590,-617,-621,-14,-8,28,190,508,-178,1,0,57,56,360,0,53298,1
2,30499,29716,31177,86873,9128,-4566,-596,-623,0,-20,29,189,503,-177,1,0,57,56,400,0,53298,1
2,30498,29722,31176,86874,9141,-4580,-605,-605,-10,-11,35,191,503,-181,1,0,57,56,440,0,53298,1
2,30501,29714,31176,86875,9155,-4570,-595,-625,-11,-18,33,182,508,-182,1,0,57,56,480,0,53298,1
2,30499,29733,31176,86876,9169,-4592,-618,-621,-5,-18,29,184,524,-180,1,0,57,56,520,0,53298,1
2,30497,29720,31176,86877,9183,-4578,-594,-625,-2,-11,24,191,513,-173,1,0,57,56,560,0,53298,1
2,30501,29713,31178,86878,9196,-4577,-592,-627,-1,-2,18,186,514,-176,1,0,57,56,600,0,53298,1
2,30501,29733,31174,86879,9208,-4571,-594,-621,-3,-3,17,194,512,-178,1,0,57,56,640,0,53298,1
2,30502,29738,31174,86880,9220,-4585,-615,-623,-6,3,26,191,509,-183,1,0,57,56,680,0,53298,1
2,30497,29729,31176,86881,9233,-4571,-602,-620,2,0,29,187,511,-177,1,0,57,56,720,0,53298,1
2,30496,29728,31177,86882,9246,-4588,-599,-609,9,6,18,183,507,-181,1,0,57,56,760,0,53298,1
