sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,30781,30339,31381,74464,33380,-4571,-803,-489,-18,-28,24,234,516,-168,1,0,49,40,40,0,53298,1
2,30764,30339,31379,74465,33391,-4571,-799,-498,-9,-9,11,232,508,-156,1,0,49,40,80,0,53298,1
2,30753,30342,31379,74466,33400,-4580,-815,-491,-15,4,8,237,517,-161,1,0,49,40,120,0,53298,1
2,30756,30331,31381,74467,33409,-4568,-814,-499,-14,-4,9,234,502,-170,1,0,49,40,160,0,53298,1
2,30727,30325,31381,74468,33418,-4579,-823,-494,-12,-25,26,235,509,-171,1,0,49,40,200,0,53298,1
2,30727,30330,31381,74469,33427,-4585,-806,-496,-6,-33,37,232,516,-162,1,0,49,40,240,0,53298,1
2,30721,30323,31380,74470,33437,-4566,-804,-498,-8,-35,47,234,512,-164,1,0,49,40,280,0,53298,1
2,30739,30329,31380,74471,33446,-4576,-813,-493,-11,-25,32,232,508,-168,1,0,49,40,320,0,53298,1
2,30732,30331,31380,74472,33455,-4581,-816,-494,-6,-13,24,227,519,-157,1,0,49,40,360,0,53298,1
2,30714,30329,31379,74473,33464,-4580,-825,-485,-14,1,28,241,509,-171,1,0,49,40,400,0,53298,1
2,30734,30329,31382,74474,33472,-4578,-824,-488,-7,-2,22,235,511,-169,1,0,49,40,440,0,53298,1
2,30716,30336,31381,74475,33480,-4576,-794,-505,-11,0,24,236,508,-172,1,0,49,40,480,0,53298,1
2,30716,30326,31381,74476,33489,-4579,-806,-492,-10,3,9,237,515,-157,1,0,49,40,520,0,53298,1
2,30719,30331,31385,74477,33498,-4585,-817,-501,-15,-4,15,234,510,-164,1,0,49,40,560,0,53298,1
2,30719,30327,31386,74478,33507,-4576,-806,-506,-14,-6,22,233,509,-155,1,0,49,40,600,0,53298,1
2,30718,30326,31380,74479,33515,-4576,-810,-513,-18,-17,14,237,501,-161,1,0,49,40,640,0,53298,1
2,30719,30328,31382,74480,33524,-4572,-803,-492,-18,-19,34,236,514,-166,1,0,49,40,680,0,53298,1
