sensorStatus,cap1,cap2,cap3,counter,microseconds_since_last_tick,accX,accY,accZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ,day,hour,min,sec,msec,sync,battery_fuel,crc_good
2,30959,30274,31779,61364,39946,-3936,-405,-2270,-1958,-955,101,149,451,-303,1,0,40,56,40,0,53298,1
2,30960,30206,31780,61365,39950,-4455,-428,-2130,-2275,-1383,72,152,458,-316,1,0,40,56,80,0,53298,1
2,30987,30187,31798,61366,39955,-5108,-1075,-306,-6059,-4055,-1023,151,445,-305,1,0,40,56,120,0,53298,1
2,31003,30131,31791,61367,39960,-4020,-1450,-1479,-8053,-7229,-3167,154,450,-294,1,0,40,56,160,0,53298,1
2,31025,29981,31795,61368,39965,-3987,757,-2196,-2513,-5927,-3105,154,446,-272,1,0,40,56,200,0,53298,1
2,31018,29983,31795,61369,39971,-3364,596,-2400,-2106,-5109,-2280,162,450,-266,1,0,40,56,240,0,53298,1
2,30989,30086,31785,61370,39975,-3154,738,-2212,-930,-2917,-1039,165,451,-261,1,0,40,56,280,0,53298,1
2,30991,30025,31786,61371,39980,-3276,-195,-2366,-712,-133,125,169,445,-257,1,0,40,56,320,0,53298,1
2,31004,30060,31798,61372,39985,-4132,-557,-1631,1603,1467,175,159,449,-257,1,0,40,56,360,0,53298,1
2,31009,30080,31807,61373,39990,-4994,-380,-1489,2074,1497,-246,165,451,-269,1,0,40,56,400,0,53298,1
2,31008,30059,31800,61374,39996,-4399,-58,-1782,1761,1028,-430,174,446,-270,1,0,40,56,440,0,53298,1
1,31007,30052,31801,61375,0,-3880,-320,-1840,1472,1021,-500,157,455,-271,1,0,40,56,480,0,53298,1
1,31000,30036,31791,61376,5,-3955,-351,-1845,989,991,-511,169,455,-277,1,0,40,56,520,0,53298,1
1,30995,30026,31787,61377,10,-4146,-354,-1954,1007,981,-459,173,457,-277,1,0,40,56,560,0,53298,1
1,31010,30025,31789,61378,16,-4179,-370,-1913,775,734,-444,169,451,-279,1,0,40,56,600,0,53298,1
1,31012,30008,31794,61379,21,-4068,-407,-1907,756,380,-143,160,446,-274,1,0,40,56,640,0,53298,1
1,31006,30030,31789,61380,27,-4010,-360,-1980,546,124,72,165,451,-281,1,0,40,56,680,0,53298,1
1,31010,30020,31790,61381,33,-4067,-341,-1916,169,-95,44,171,443,-273,1,0,40,56,720,0,53298,1
1,30999,30020,31787,61382,38,-4116,-378,-1910,-178,-238,31,169,451,-267,1,0,40,56,760,0,53298,1
1,31003,30018,31788,61383,44,-4070,-382,-1870,-41,-274,26,166,464,-276,1,0,40,56,800,0,53298,1
1,31006,30025,31787,61384,50,-4067,-355,-1901,228,-211,44,167,455,-271,1,0,40,56,840,0,53298,1
1,31001,30021,31786,61385,56,-4092,-356,-1892,182,-118,3,165,451,-273,1,0,40,56,880,0,53298,1
1,31020,30017,31792,61386,62,-4077,-379,-1859,142,25,16,165,453,-277,1,0,40,56,920,0,53298,1
1,31005,30020,31788,61387,69,-4083,-391,-1859,215,240,55,171,449,-263,1,0,40,56,960,0,53298,1
1,31008,30036,31788,61388,0,-4079,-355,-1919,432,330,54,173,447,-279,1,0,40,57,0,0,53298,1
2,31004,30034,31784,61389,39447,-4056,-360,-1933,314,240,-25,170,454,-282,1,0,40,57,40,0,53298,1
2,31015,30037,31783,61390,39452,-4050,-378,-1942,83,77,-137,176,450,-282,1,0,40,57,80,0,53298,1
2,31007,30028,31785,61391,39457,-4064,-402,-1910,46,-75,-161,170,452,-280,1,0,40,57,120,0,53298,1
2,30994,30029,31785,61392,39464,-4088,-404,-1894,114,-71,-100,171,451,-279,1,0,40,57,160,0,53298,1
2,30990,30034,31782,61393,39469,-4071,-398,-1896,83,7,-28,168,456,-278,1,0,40,57,200,0,53298,1
2,30999,30019,31781,61394,39475,-4045,-391,-1908,71,94,28,172,448,-276,1,0,40,57,240,0,53298,1
2,31005,30015,31786,61395,39480,-4057,-374,-1910,85,123,16,167,453,-271,1,0,40,57,280,0,53298,1
2,30998,30009,31781,61396,39486,-4083,-401,-1914,78,112,-32,160,450,-270,1,0,40,57,320,0,53298,1
2,30987,30004,31782,61397,39492,-4041,-390,-1936,33,41,-49,167,451,-277,1,0,40,57,360,0,53298,1
2,30990,30029,31782,61398,39497,-4053,-395,-1916,4,-31,-46,165,453,-281,1,0,40,57,400,0,53298,1
2,30998,30028,31783,61399,39502,-4082,-416,-1895,-28,-28,9,173,457,-281,1,0,40,57,440,0,53298,1
2,30986,30014,31782,61400,39507,-4078,-410,-1919,-10,-6,88,170,452,-276,1,0,40,57,480,0,53298,1
2,30996,29999,31784,61401,39512,-4044,-388,-1933,9,-34,105,167,451,-269,1,0,40,57,520,0,53298,1
2,31000,30003,31784,61402,39517,-4061,-381,-1932,0,-50,64,168,450,-268,1,0,40,57,560,0,53298,1
2,30995,30027,31783,61403,39521,-4088,-400,-1928,-11,-49,-11,167,445,-279,1,0,40,57,600,0,53298,1
2,30999,30036,31779,61404,39526,-4059,-392,-1917,32,-47,-54,155,455,-275,1,0,40,57,640,0,53298,1
2,30986,30022,31782,61405,39531,-4063,-396,-1904,55,-17,-61,171,455,-281,1,0,40,57,680,0,53298,1
2,30998,30008,31780,61406,39535,-4067,-408,-1899,33,25,-45,174,456,-276,1,0,40,57,720,0,53298,1
2,31000,29999,31780,61407,39541,-4066,-403,-1912,54,34,-9,176,452,-280,1,0,40,57,760,0,53298,1
2,30991,29998,31785,61408,39546,-4072,-402,-1893,23,33,15,166,450,-280,1,0,40,57,800,0,53298,1
2,30997,29998,31778,61409,39551,-4072,-403,-1923,9,12,26,173,447,-277,1,0,40,57,840,0,53298,1
2,30973,29984,31777,61410,39555,-4061,-405,-1917,-2,-9,12,173,457,-279,1,0,40,57,880,0,53298,1
2,30981,29984,31776,61411,39559,-4062,-406,-1910,-1,-4,15,167,443,-281,1,0,40,57,920,0,53298,1
2,30991,29974,31780,61412,39564,-4065,-393,-1925,-17,-18,16,175,451,-271,1,0,40,57,960,0,53298,1
1,30994,29979,31779,61413,0,-4062,-397,-1924,-26,-25,11,167,443,-277,1,0,40,58,0,0,53298,1
2,30994,29985,31780,61414,38944,-4054,-400,-1912,8,-25,3,168,448,-270,1,0,40,58,40,0,53298,1
2,30994,29985,31780,61415,38950,-4062,-399,-1918,13,-1,-7,169,453,-273,1,0,40,58,80,0,53298,1
2,30989,29969,31780,61416,38956,-4057,-405,-1926,20,4,7,166,452,-276,1,0,40,58,120,0,53298,1
2,31002,29983,31784,61417,38961,-4045,-390,-1924,14,-3,29,170,450,-270,1,0,40,58,160,0,53298,1
2,30999,29981,31783,61418,38967,-4060,-402,-1916,-26,-9,40,168,442,-282,1,0,40,58,200,0,53298,1
2,31003,29983,31780,61419,38972,-4066,-405,-1933,-39,-22,42,161,447,-279,1,0,40,58,240,0,53298,1
2,30995,29980,31778,61420,38977,-4059,-388,-1904,-12,-63,48,170,448,-274,1,0,40,58,280,0,53298,1
2,30991,29985,31777,61421,38983,-4062,-385,-1914,-8,-64,15,167,449,-275,1,0,40,58,320,0,53298,1
2,30986,29981,31781,61422,38988,-4064,-407,-1912,-62,-67,-11,167,449,-281,1,0,40,58,360,0,53298,1
2,30994,29979,31784,61423,38993,-4058,-397,-1907,8,-57,-16,171,453,-273,1,0,40,58,400,0,53298,1
2,30981,29976,31780,61424,38998,-4056,-394,-1911,57,13,-16,167,451,-275,1,0,40,58,440,0,53298,1
2,30983,29975,31782,61425,39004,-4069,-412,-1914,4,59,21,161,451,-275,1,0,40,58,480,0,53298,1
2,30976,29971,31780,61426,39009,-4070,-398,-1927,1,53,55,172,456,-270,1,0,40,58,520,0,53298,1
2,30976,29974,31776,61427,39013,-4051,-380,-1917,-6,26,34,173,445,-279,1,0,40,58,560,0,53298,1
2,30983,29979,31775,61428,39018,-4072,-405,-1926,1,-44,4,173,459,-289,1,0,40,58,600,0,53298,1
2,30981,29975,31777,61429,39024,-4054,-385,-1905,2,-55,-14,169,449,-277,1,0,40,58,640,0,53298,1
2,30974,29968,31780,61430,39029,-4054,-406,-1923,-24,-33,3,172,450,-282,1,0,40,58,680,0,53298,1
2,30987,29969,31778,61431,39035,-4054,-401,-1924,3,-15,21,168,454,-272,1,0,40,58,720,0,53298,1
2,30980,29968,31776,61432,39041,-4061,-391,-1919,17,10,31,163,449,-269,1,0,40,58,760,0,53298,1
2,30980,29966,31776,61433,39047,-4065,-398,-1922,-13,16,30,173,445,-277,1,0,40,58,800,0,53298,1
2,30974,29967,31778,61434,39053,-4068,-409,-1924,5,-5,13,166,450,-272,1,0,40,58,840,0,53298,1
